"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Celbridge, Kildare Division",32,27,33,51,36,51
" ","Charlestown, Mayo Division",20,18,8,12,21,13
" ","Charleville, Cork North Division",18,27,35,37,23,23
" ","Cill Ronain, Galway Division",7,1,5,5,2,1
" ","Clane, Kildare Division",43,31,23,36,36,41
" ","Clara, Laois/Offaly Division",6,33,26,13,30,8
" ","Claremorris, Mayo Division",57,48,24,26,17,21
" ","Clifden, Galway Division",28,30,22,14,3,10
" ","Cloch na Ron, Galway Division",2,2,5,1,1,1
" ","Cloghan, Co. Offaly, Laois/Offaly Division",7,8,16,8,10,4
" ","Clogheen, Co. Tipperary, Tipperary Division",3,3,5,4,7,4
" ","Clogher, Donegal Division",3,3,1,1,0,1
" ","Clogherhead, Louth Division",15,12,11,7,9,13
" ","Clonakilty, Cork West Division",40,29,39,43,37,27
" ","Clonark, Roscommon/Longford Division",2,7,4,1,5,1
" ","Clonaslee, Laois/Offaly Division",5,1,6,3,4,4
" ","Clonbologue, Laois/Offaly Division",3,5,3,1,3,3
" ","Clondalkin, D.M.R. Western Division",116,116,121,116,131,112
" ","Clones, Cavan/Monaghan Division",35,25,46,28,29,14
" ","Clonmany, Donegal Division",10,8,15,26,16,13
" ","Clonmel, Tipperary Division",106,83,83,91,70,72
" ","Clonroche, Wexford Division",8,9,9,2,2,1
" ","Clontarf, D.M.R. Northern Division",113,131,86,53,74,60
" ","Cloughjordan, Tipperary Division",0,2,0,4,0,2
" ","Cloyne, Cork North Division",4,4,0,0,1,3
" ","Coachford, Cork West Division",10,7,5,9,3,7
" ","Cobh, Cork North Division",89,70,80,64,44,25
" ","Collon, Louth Division",5,6,3,3,3,5
" ","Collooney, Sligo/Leitrim Division",22,11,6,10,10,9
" ","Cong, Mayo Division",2,1,2,2,6,3
" ","Convoy, Donegal Division",25,20,33,20,15,26
" ","Coolaney, Sligo/Leitrim Division",2,5,5,3,3,7
" ","Coolock, D.M.R. Northern Division",141,122,141,165,105,136
" ","Cootehill, Cavan/Monaghan Division",39,29,36,53,32,25
