"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Lifford, Donegal Division",28,27,14,28,11,19
" ","Liscarroll, Cork North Division",12,16,12,12,9,10
" ","Lisdoonvarna, Clare Division",28,14,21,15,7,9
" ","Lismore, Waterford Division",15,11,16,14,18,17
" ","Lissycasey, Clare Division",11,16,10,15,19,9
" ","Listowel, Kerry Division",70,77,84,60,37,66
" ","Littleton, Tipperary Division",24,21,30,10,11,20
" ","Lixnaw, Kerry Division",13,7,12,9,7,12
" ","Longford, Roscommon/Longford Division",240,266,269,244,254,294
" ","Longwood, Meath Division",27,50,35,38,39,32
" ","Lorrha, Tipperary Division",11,6,9,10,4,4
" ","Loughrea, Galway Division",61,98,93,103,68,75
" ","Louisburgh, Mayo Division",11,16,10,8,16,18
" ","Louth, Louth Division",32,40,25,35,34,13
" ","Lucan, D.M.R. Western Division",621,560,555,750,783,820
" ","Lusk, D.M.R. Northern Division",189,204,223,356,387,319
" ","Macroom, Cork West Division",64,71,49,46,64,67
" ","Maigh Cuilinn, Galway Division",22,28,25,12,14,7
" ","Malahide, D.M.R. Northern Division",397,473,356,508,403,431
" ","Mallow, Cork North Division",147,177,166,161,200,196
" ","Manorhamilton, Sligo/Leitrim Division",68,47,39,52,34,26
" ","Mayfield, Cork City Division",205,163,156,171,127,209
" ","Maynooth, Kildare Division",237,253,292,356,377,370
" ","Mayorstone Park, Limerick Division",683,592,546,502,498,455
" ","Midleton, Cork North Division",156,164,155,160,126,154
" ","Milford, Co Cork, Cork North Division",8,7,10,14,5,9
" ","Milford, Co Donegal, Donegal Division",22,16,14,11,16,15
" ","Millstreet, Co. Cork, Cork West Division",23,31,23,38,19,33
" ","Milltown, Galway Division",11,17,9,7,9,6
" ","Miltown Malbay, Clare Division",22,36,25,33,25,17
" ","Mitchelstown, Cork North Division",76,44,52,55,59,68
" ","Moate, Westmeath Division",27,28,30,38,35,28
" ","Mohill, Sligo/Leitrim Division",34,48,35,26,28,42
" ","Monaghan, Cavan/Monaghan Division",254,219,209,267,205,180
" ","Monasterevin, Kildare Division",104,73,77,80,113,141
" ","Moneygall, Tipperary Division",5,5,14,3,3,3
" ","Monivea, Galway Division",6,10,2,4,6,5
" ","Mooncoin, Kilkenny/Carlow Division",8,21,23,25,26,17
" ","Mountbellew, Galway Division",30,39,16,18,24,14
" ","Mountcharles, Donegal Division",8,5,10,11,5,5
" ","Mountjoy, D.M.R. North Central Division",693,730,839,893,911,996
" ","Mountmellick, Laois/Offaly Division",82,64,76,66,94,114
" ","Mountrath, Laois/Offaly Division",43,45,43,43,40,99
" ","Moville, Donegal Division",20,37,27,27,11,11
" ","Moylough, Galway Division",5,17,3,8,9,7
" ","Moyne, Tipperary Division",12,2,8,7,9,7
" ","Muff, Donegal Division",22,23,17,21,19,34
" ","Muine Bheag, Kilkenny/Carlow Division",107,93,92,122,66,68
" ","Mullagh, Cavan/Monaghan Division",21,12,15,23,22,20
" ","Mullinahone, Tipperary Division",2,9,7,15,5,12
" ","Mullinavat, Kilkenny/Carlow Division",12,17,30,16,12,18
" ","Mullingar, Westmeath Division",424,430,474,436,458,497
" ","Multyfarnham, Westmeath Division",15,29,28,22,9,16
" ","Murroe, Limerick Division",35,52,29,66,20,19
" ","Myshall, Kilkenny/Carlow Division",15,16,7,16,18,14
" ","Na Cealla Beaga, Donegal Division",14,29,6,12,12,14
" ","Na Gleannta, Donegal Division",15,11,5,7,8,9
" ","Naas, Kildare Division",769,677,602,672,550,742
" ","Navan, Meath Division",499,532,500,498,522,676
" ","Nenagh, Tipperary Division",148,179,183,151,148,163
" ","New Ross, Wexford Division",181,141,120,170,189,146
" ","Newbridge, Kildare Division",479,403,323,354,373,298
" ","Newcastle West, Limerick Division",159,162,173,160,123,137
" ","Newmarket on Fergus, Clare Division",28,25,33,28,18,23
" ","Newmarket, Cork North Division",22,24,19,26,20,18
" ","Newport, Co Mayo, Mayo Division",19,25,15,24,18,17
" ","Newport, Co Tipperary, Tipperary Division",47,61,56,38,36,38
" ","Newtowncunningham, Donegal Division",27,36,40,31,33,29
" ","Newtownmountkennedy, Wicklow Division",58,47,53,53,74,59
" ","Nobber, Meath Division",50,50,49,52,41,35
" ","Oldcastle, Meath Division",36,45,58,50,33,19
" ","Omeath, Louth Division",22,16,22,27,21,13
" ","Oola, Limerick Division",15,6,9,4,10,9
" ","Oughterard, Galway Division",48,40,30,18,13,10
" ","Oulart, Wexford Division",23,23,21,44,21,24
" ","Oylegate, Wexford Division",14,20,28,25,16,11
" ","Pallasgreen, Limerick Division",23,25,37,22,22,14
" ","Pallaskenry, Limerick Division",19,41,23,28,43,59
" ","Partry, Mayo Division",20,12,21,18,24,16
" ","Passage East, Waterford Division",32,19,32,14,17,11
" ","Passage West, Cork City Division",40,60,52,54,61,35
" ","Patrickswell, Limerick Division",50,37,91,80,74,70
" ","Pearse Street, D.M.R. South Central Division",3952,3674,3712,4595,5751,6511
" ","Pettigo, Donegal Division",9,2,4,5,2,13
" ","Piltown, Kilkenny/Carlow Division",18,21,21,19,28,25
" ","Portarlington, Laois/Offaly Division",137,147,168,133,117,150
" ","Portlaoise, Laois/Offaly Division",520,495,531,470,489,668
" ","Portlaw, Waterford Division",11,18,25,20,31,23
" ","Portmagee, Kerry Division",6,3,3,4,4,7
" ","Portroe, Tipperary Division",8,22,6,5,15,7
" ","Portumna, Galway Division",39,39,35,42,32,40
" ","Raheny, D.M.R. Northern Division",298,456,372,343,335,334
" ","Ramelton, Donegal Division",9,17,10,10,10,14
" ","Raphoe, Donegal Division",37,32,31,28,26,18
" ","Rathangan, Kildare Division",34,42,65,79,59,54
" ","Rathcoole, D.M.R. Western Division",231,262,231,261,298,301
" ","Rathcormac, Co Cork, Cork North Division",27,28,25,22,31,21
" ","Rathdowney, Laois/Offaly Division",24,26,22,31,17,23
" ","Rathdrum, Wicklow Division",75,79,71,84,71,104
" ","Rathfarnham, D.M.R. Southern Division",750,725,804,779,735,809
" ","Rathgormack, Co Waterford, Waterford Division",8,7,17,15,13,15
" ","Rathkeale, Limerick Division",53,83,85,52,65,38
" ","Rathmines, D.M.R. Southern Division",519,696,704,767,743,752
" ","Rathmore, Co Kerry, Cork West Division",15,24,18,24,21,19
" ","Rathmullen, Donegal Division",7,6,3,1,5,3
" ","Rathvilly, Kilkenny/Carlow Division",12,9,9,2,9,6
" ","Rhode, Laois/Offaly Division",15,19,16,16,26,11
" ","Riverstown, Sligo/Leitrim Division",19,24,17,21,15,20
" ","Robertstown, Kildare Division",63,79,95,72,58,55
" ","Rochfortbridge, Westmeath Division",28,18,23,20,33,19
" ","Rockcorry, Cavan/Monaghan Division",6,11,6,7,8,5
" ","Ronanstown, D.M.R. Western Division",1027,926,946,1014,834,846
" ","Roosky, Roscommon/Longford Division",25,27,12,12,24,19
" ","Ros Muc, Galway Division",3,10,4,3,0,1
" ","Roscommon, Roscommon/Longford Division",138,163,136,152,162,118
" ","Roscrea, Tipperary Division",50,92,94,63,42,43
" ","Rosscarbery, Cork West Division",23,24,20,18,27,21
" ","Rosses Point, Sligo/Leitrim Division",7,15,8,10,14,20
" ","Rosslare Harbour, Wexford Division",35,40,28,40,38,30
" ","Rosslare Strand, Wexford Division",23,28,36,41,41,43
" ","Roundwood, Wicklow Division",62,64,114,87,67,116
" ","Roxboro Road, Limerick Division",1013,1052,1017,1006,905,945
" ","Santry, D.M.R. Northern Division",902,935,948,994,1007,1057
" ","Scariff, Clare Division",27,36,31,34,26,23
" ","Schull, Cork West Division",19,20,19,10,22,14
" ","Scotstown, Cavan/Monaghan Division",10,11,12,9,5,12
" ","Shankill, D.M.R. Eastern Division",335,336,323,290,276,288
" ","Shannon, Clare Division",203,174,203,147,109,118
" ","Shercock, Cavan/Monaghan Division",10,13,11,16,17,4
" ","Shevry, Tipperary Division",3,4,2,3,5,1
" ","Shillelagh, Wicklow Division",25,16,19,31,29,13
" ","Shinrone, Laois/Offaly Division",5,8,15,7,7,11
" ","Shrule, Mayo Division",4,1,4,8,8,3
" ","Sixmilebridge, Clare Division",60,47,40,43,55,38
" ","Skerries, D.M.R. Northern Division",81,122,125,143,98,121
" ","Skibbereen, Cork West Division",61,65,38,34,54,52
" ","Skreen, Sligo/Leitrim Division",4,9,6,3,5,6
" ","Slane, Meath Division",76,73,75,46,51,57
" ","Sligo, Sligo/Leitrim Division",560,525,522,437,428,459
" ","Smear, Roscommon/Longford Division",6,6,7,8,3,6
" ","Sneem, Kerry Division",8,4,9,9,7,10
" ","Sraith Salach, Galway Division",1,5,10,3,1,5
" ","Stoneyford, Kilkenny/Carlow Division",13,8,15,12,9,16
" ","Store Street, D.M.R. North Central Division",4733,4205,4963,4648,4449,5014
" ","Stradbally Co Laois, Laois/Offaly Division",39,58,62,77,82,81
" ","Strokestown, Roscommon/Longford Division",19,21,8,5,12,12
" ","Stuake, Cork West Division",11,7,17,20,7,13
" ","Summerhill, Meath Division",51,39,35,36,26,19
" ","Sundrive Road, D.M.R. Southern Division",401,397,448,343,381,364
" ","Swanlinbar, Cavan/Monaghan Division",5,6,5,5,2,6
" ","Swinford, Mayo Division",29,30,36,36,39,35
" ","Swords, D.M.R. Northern Division",818,1020,963,969,884,906
" ","Taghmon, Wexford Division",23,49,47,54,32,30
" ","Tallaght, D.M.R. Southern Division",2119,1965,1629,1335,1211,1334
" ","Tallow, Waterford Division",15,12,8,11,9,8
" ","Tarbert, Kerry Division",15,6,4,4,3,8
" ","Tarelton, Cork West Division",19,33,12,27,10,9
" ","Taughmaconnell, Roscommon/Longford Division",4,6,5,3,0,1
" ","Templederry, Tipperary Division",0,0,3,3,0,2
" ","Templemore, Tipperary Division",43,26,27,53,36,42
" ","Templetuohy, Tipperary Division",6,5,3,2,6,8
" ","Terenure, D.M.R. Southern Division",360,394,390,417,511,491
" ","Thomastown, Kilkenny/Carlow Division",50,51,44,26,41,23
" ","Thurles, Tipperary Division",183,222,202,163,132,129
" ","Timoleague, Cork West Division",6,12,8,15,7,0
" ","Tinahely, Wicklow Division",25,22,9,20,22,10
" ","Tipperary, Tipperary Division",123,112,130,134,140,138
" ","Togher, Cork City Division",329,243,171,165,161,158
" ","Toomevara, Tipperary Division",10,14,38,12,5,7
" ","Tralee, Kerry Division",485,566,525,446,454,453
" ","Tramore, Waterford Division",138,132,138,148,126,110
" ","Trim, Meath Division",212,187,156,177,125,109
" ","Tuam, Galway Division",134,118,104,99,95,93
" ","Tubbercurry, Sligo/Leitrim Division",25,37,31,39,30,33
" ","Tulla, Clare Division",26,9,17,18,11,11
" ","Tullamore, Laois/Offaly Division",336,322,318,312,315,413
" ","Tullow, Kilkenny/Carlow Division",76,82,61,69,81,62
" ","Tulsk, Roscommon/Longford Division",15,18,6,10,15,11
" ","Urlingford, Kilkenny/Carlow Division",35,32,64,48,36,34
" ","Virginia, Cavan/Monaghan Division",42,44,48,28,55,53
" ","Watercourse Road, Cork City Division",709,615,520,480,490,552
" ","Waterford, Waterford Division",1584,1460,1411,1304,1479,1331
" ","Watergrasshill, Cork North Division",13,21,17,14,10,13
" ","Westport, Mayo Division",102,167,78,107,120,103
" ","Wexford, Wexford Division",413,469,402,461,541,469
" ","Whitegate, Cork North Division",20,17,21,17,14,13
" ","Wicklow, Wicklow Division",259,200,216,227,190,193
" ","Williamstown, Galway Division",4,7,5,8,14,14
" ","Woodford, Galway Division",2,8,5,6,4,11
" ","Youghal, Cork North Division",105,95,93,66,93,88
"09 ,Fraud, deception and related offences"
" ","Abbeyfeale, Limerick Division",6,5,3,3,5,6
" ","Abbeyleix, Laois/Offaly Division",6,1,5,6,3,4
" ","Adare, Limerick Division",3,2,1,2,2,4
" ","Aglish, Waterford Division",0,0,0,2,0,0
" ","Ahascragh, Galway Division",0,0,0,0,0,0
" ","Ailt an Chorraiin, Donegal Division",1,0,0,1,1,1
" ","An Bun Beag, Donegal Division",2,3,1,1,1,1
" ","An Charraig, Donegal Division",2,0,1,0,1,0
" ","An Cheathru Rua, Galway Division",2,0,1,1,1,2
" ","An Clochain Liath, Donegal Division",1,5,3,2,2,1
" ","An Coirean, Kerry Division",2,0,0,0,1,0
" ","An Craoslach, Donegal Division",0,1,0,1,0,2
" ","An Fail Carrach, Donegal Division",0,2,5,1,1,1
" ","An Maim, Galway Division",1,2,15,2,1,2
" ","An Rinn, Waterford Division",0,0,1,0,0,0
" ","An Spideal, Galway Division",5,3,0,0,2,2
" ","Anglesea Street, Cork City Division",93,64,42,74,95,59
" ","Annascaul, Kerry Division",2,2,0,0,0,0
" ","Aran More, Galway Division",14,11,12,10,18,9
" ","Ard an Raitha, Donegal Division",4,0,0,0,0,0
" ","Ardee, Louth Division",8,14,11,7,19,15
" ","Ardfert, Kerry Division",0,2,1,1,1,1
" ","Ardfinnan, Tipperary Division",1,0,0,0,1,2
" ","Ardmore, Waterford Division",1,1,0,1,0,0
" ","Ardnacrusha, Limerick Division",5,3,5,5,1,3
" ","Ardrahan, Galway Division",0,0,0,0,1,1
" ","Arklow, Wicklow Division",28,17,27,17,26,11
" ","Arles, Laois/Offaly Division",3,0,2,1,3,0
" ","Arva, Cavan/Monaghan Division",2,2,3,2,1,0
" ","Ashbourne, Meath Division",21,12,24,35,29,27
" ","Ashford, Wicklow Division",7,7,4,3,7,6
" ","Askeaton, Limerick Division",2,4,1,2,0,1
" ","Athea, Limerick Division",0,0,1,2,3,0
" ","Athenry, Galway Division",3,2,4,6,2,5
" ","Athleague, Roscommon/Longford Division",2,2,0,1,10,1
" ","Athlone, Westmeath Division",38,34,39,29,36,33
" ","Athy, Kildare Division",13,14,15,18,12,9
" ","Aughrim, Wicklow Division",0,0,1,2,1,0
" ","Avoca, Wicklow Division",0,0,2,0,0,0
" ","Baile AÅtha Bui, Meath Division",1,3,2,2,3,3
" ","Baile an FheirtÈaraigh, Kerry Division",0,0,0,0,0,0
" ","Baile Bhuirne, Cork West Division",0,0,1,0,0,1
" ","Bailieboro, Cavan/Monaghan Division",6,6,3,11,6,3
" ","Balbriggan, D.M.R. Northern Division",41,36,44,66,76,126
" ","Balla, Mayo Division",0,1,1,0,0,1
" ","Ballaghderreen, Roscommon/Longford Division",1,2,7,13,5,5
" ","Ballina, Mayo Division",39,31,21,20,14,20
" ","Ballinagh, Cavan/Monaghan Division",2,3,4,4,2,2
" ","Ballinamore, Sligo/Leitrim Division",0,3,2,4,4,0
" ","Ballinasloe, Galway Division",28,30,12,14,23,23
" ","Ballincollig, Cork City Division",15,12,10,16,10,16
" ","Ballindine, Mayo Division",3,0,2,3,5,0
" ","Ballineen, Cork West Division",0,0,1,1,2,2
" ","Ballingarry North, Tipperary Division",1,0,0,0,0,0
" ","Ballingarry South, Tipperary Division",0,0,1,0,0,0
" ","Ballingarry, Limerick Division",0,2,0,0,0,1
" ","Ballinhassig, Cork West Division",0,5,2,4,2,3
" ","Ballinlough, Roscommon/Longford Division",0,1,1,1,2,1
" ","Ballinrobe, Mayo Division",6,1,10,3,5,2
" ","Ballintra, Donegal Division",0,0,2,1,0,2
" ","Ballivor, Meath Division",4,3,2,1,2,2
" ","Ballon, Kilkenny/Carlow Division",1,0,2,2,0,0
" ","Ballybay, Cavan/Monaghan Division",2,3,3,4,4,2
" ","Ballybofey, Donegal Division",8,8,11,10,19,15
" ","Ballybunion, Kerry Division",0,3,4,0,3,1
" ","Ballyconnell, Cavan/Monaghan Division",3,3,2,2,0,1
" ","Ballycotton, Cork North Division",0,0,0,0,1,0
" ","Ballycroy, Mayo Division",0,0,0,0,0,1
" ","Ballycullane, Wexford Division",0,1,1,1,1,0
" ","Ballydehob, Cork West Division",1,0,1,0,1,0
" ","Ballydesmond, Cork West Division",1,1,0,0,1,0
" ","Ballyduff,  Co. Kerry, Kerry Division",1,2,0,0,0,1
" ","Ballyfermot, D.M.R. Western Division",22,26,27,22,51,45
" ","Ballygar, Galway Division",1,0,1,1,1,3
" ","Ballyhale, Kilkenny/Carlow Division",0,1,0,1,1,0
" ","Ballyhaunis, Mayo Division",4,3,1,3,4,3
" ","Ballyheigue, Kerry Division",1,1,3,0,1,0
" ","Ballyjamesduff, Cavan/Monaghan Division",4,3,7,6,1,1
" ","Ballylanders, Limerick Division",7,2,0,2,0,1
" ","Ballylinan, Laois/Offaly Division",1,1,1,2,0,2
" ","Ballymacarberry, Waterford Division",0,1,0,0,0,0
" ","Ballymahon, Roscommon/Longford Division",2,3,2,0,0,4
" ","Ballymore, Westmeath Division",0,0,0,0,2,1
" ","Ballymote, Sligo/Leitrim Division",2,5,12,3,6,0
" ","Ballymun, D.M.R. Northern Division",18,21,35,30,40,30
" ","Ballynacargy, Westmeath Division",1,3,2,1,0,4
" ","Ballyneety, Limerick Division",2,1,2,0,1,2
" ","Ballynoe, Cork North Division",1,0,1,1,1,0
" ","Ballyporeen, Tipperary Division",3,1,2,1,0,0
" ","Ballyshannon, Donegal Division",7,5,7,3,3,6
" ","Ballyvaughan, Clare Division",2,0,1,0,1,2
" ","Baltimore, Cork West Division",0,0,0,0,1,0
" ","Baltinglass, Wicklow Division",3,16,11,4,7,3
" ","Banagher, Laois/Offaly Division",2,1,2,0,3,3
" ","Bandon, Cork West Division",18,12,3,26,17,12
" ","Bangor Erris, Mayo Division",1,0,4,1,1,1
" ","Bansha, Tipperary Division",0,0,1,0,1,0
" ","Bantry, Cork West Division",5,8,6,4,2,3
" ","Barnaderg, Galway Division",0,0,4,0,1,2
" ","Barraduff, Kerry Division",1,0,0,0,0,0
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",2,0,0,0,0,0
" ","BÈal an Mhuirthead, Mayo Division",2,1,7,1,7,5
" ","Belturbet, Cavan/Monaghan Division",3,7,6,4,3,4
" ","Bennettsbridge, Kilkenny/Carlow Division",4,0,0,1,0,0
" ","Birr,  Laois/Offaly Division",13,7,13,16,5,4
" ","Bishopstown, Cork City Division",42,40,27,37,32,19
" ","Blacklion, Cavan/Monaghan Division",1,0,0,0,0,2
" ","Blackrock, Co Cork, Cork City Division",13,15,6,8,14,10
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",41,58,37,96,65,37
" ","Blackrock, Co Louth, Louth Division",8,0,6,2,5,4
" ","Blackwater, Wexford Division",2,2,1,3,1,0
" ","Blanchardstown, D.M.R. Western Division",166,134,128,164,151,162
" ","Blarney, Cork City Division",2,11,3,4,3,3
" ","Blessington, Wicklow Division",8,8,12,9,9,10
" ","Boherbue, Cork West Division",0,3,0,2,0,0
" ","Bonniconlon, Mayo Division",1,1,2,0,0,1
" ","Borris, Kilkenny/Carlow Division",2,4,1,3,1,1
" ","Borris-In-Ossory, Laois/Offaly Division",0,2,3,2,1,2
" ","Borrisokane, Tipperary Division",1,6,3,0,1,2
" ","Borrisoleigh, Tipperary Division",2,0,3,1,2,0
" ","Bothar Na Tra, Galway Division",9,8,9,13,12,7
" ","Boyle, Roscommon/Longford Division",11,3,4,5,2,3
" ","Bray, Wicklow Division",37,40,45,66,50,40
" ","Bridewell Cork, Cork City Division",46,26,32,29,21,16
" ","Bridewell Dublin, D.M.R. North Central Division",34,42,40,49,56,50
" ","Bruff, Limerick Division",3,2,3,2,0,3
" ","Bruree, Limerick Division",1,1,0,1,1,0
" ","Bunclody, Wexford Division",6,2,1,5,3,5
" ","Buncrana, Donegal Division",19,11,21,7,8,5
" ","Bundoran, Donegal Division",3,3,2,3,2,0
" ","Burnfoot, Donegal Division",7,9,14,8,1,0
" ","Buttevant, Cork North Division",8,1,1,1,0,1
" ","Cabinteely, D.M.R. Eastern Division",17,11,10,15,16,24
" ","Cabra, D.M.R. Western Division",31,20,20,39,24,23
" ","Caherciveen, Kerry Division",4,2,3,3,0,0
" ","Caherconlish, Limerick Division",2,0,3,1,1,3
" ","Cahir, Tipperary Division",5,4,6,8,5,1
" ","Callan, Kilkenny/Carlow Division",3,6,0,2,2,11
" ","Campile, Wexford Division",0,2,0,0,1,0
" ","Cappamore, Limerick Division",0,0,1,0,2,2
" ","Cappawhite, Tipperary Division",0,1,1,1,1,0
" ","Cappoquin, Waterford Division",0,0,1,0,0,1
" ","Carbury, Kildare Division",0,0,0,0,2,1
" ","Carlingford, Louth Division",4,6,2,1,2,3
" ","Carlow, Kilkenny/Carlow Division",36,46,35,30,36,27
" ","Carna, Galway Division",1,0,0,0,1,1
" ","Carndonagh, Donegal Division",8,1,3,4,2,2
" ","Carnew, Wicklow Division",2,0,1,2,0,3
" ","Carraig Airt, Donegal Division",4,1,1,0,0,1
" ","Carrickbyrne, Wexford Division",2,1,0,3,1,0
" ","Carrickmacross, Cavan/Monaghan Division",9,20,13,12,19,6
" ","Carrick-on-Bannow, Wexford Division",3,0,2,1,2,0
" ","Carrick-On-Shannon, Sligo/Leitrim Division",18,8,16,19,17,12
" ","Carrick-On-Suir, Tipperary Division",20,8,4,9,6,5
" ","Carrigaline, Cork City Division",12,10,7,11,11,15
" ","Carrigallen, Sligo/Leitrim Division",0,0,0,1,2,1
" ","Carrigans, Donegal Division",2,1,0,1,2,4
" ","Carrigtwohill, Cork North Division",8,6,1,5,1,0
" ","Cashel, Tipperary Division",6,1,3,8,4,1
" ","Castlebar, Mayo Division",15,18,25,27,35,39
" ","Castlebellingham, Louth Division",1,1,2,2,4,5
" ","Castleblayney, Cavan/Monaghan Division",15,19,17,11,8,3
" ","Castlebridge, Wexford Division",2,1,10,4,1,0
" ","Castlecomer, Kilkenny/Carlow Division",5,1,4,6,2,1
" ","Castleconnell, Limerick Division",4,3,1,7,1,3
" ","Castledermot, Kildare Division",0,2,1,0,5,0
" ","Castlefin, Donegal Division",2,4,0,2,0,1
" ","Castlegregory, Kerry Division",1,1,1,2,0,0
" ","Castleisland, Kerry Division",6,5,2,3,2,6
" ","Castlemaine, Kerry Division",0,2,0,0,1,0
" ","Castlepollard, Westmeath Division",2,0,1,3,3,2
" ","Castlerea, Roscommon/Longford Division",7,10,3,5,7,4
" ","Castletownbere, Cork West Division",3,1,3,1,0,1
" ","Castletownroche, Cork North Division",2,1,0,1,1,1
" ","Cavan, Cavan/Monaghan Division",30,55,61,38,37,35
" ","Celbridge, Kildare Division",18,13,7,10,12,12
" ","Charlestown, Mayo Division",2,2,5,3,2,3
" ","Charleville, Cork North Division",8,2,8,6,3,4
" ","Cill Ronain, Galway Division",0,1,0,0,0,1
" ","Clane, Kildare Division",7,6,6,13,15,9
" ","Clara, Laois/Offaly Division",2,22,8,5,1,2
" ","Claremorris, Mayo Division",11,9,12,11,4,10
" ","Clifden, Galway Division",6,3,2,1,3,1
" ","Cloch na Ron, Galway Division",0,0,0,0,0,0
" ","Cloghan, Co. Offaly, Laois/Offaly Division",0,0,1,2,3,2
" ","Clogheen, Co. Tipperary, Tipperary Division",0,0,0,1,1,0
" ","Clogher, Donegal Division",1,0,2,0,0,0
" ","Clogherhead, Louth Division",0,0,0,0,0,0
" ","Clonakilty, Cork West Division",8,9,5,6,4,2
" ","Clonark, Roscommon/Longford Division",2,0,1,0,0,0
" ","Clonaslee, Laois/Offaly Division",0,0,0,0,0,1
" ","Clonbologue, Laois/Offaly Division",0,1,0,0,1,0
" ","Clondalkin, D.M.R. Western Division",44,52,53,50,189,59
" ","Clones, Cavan/Monaghan Division",11,7,0,5,2,0
" ","Clonmany, Donegal Division",4,1,0,0,1,1
" ","Clonmel, Tipperary Division",19,17,24,18,13,19
" ","Clonroche, Wexford Division",2,1,4,2,1,1
" ","Clontarf, D.M.R. Northern Division",25,38,28,41,56,29
" ","Cloughjordan, Tipperary Division",0,0,0,0,1,0
" ","Cloyne, Cork North Division",0,0,0,1,0,0
" ","Coachford, Cork West Division",0,0,0,1,0,1
" ","Cobh, Cork North Division",8,14,12,12,2,5
" ","Collon, Louth Division",0,2,0,1,0,0
" ","Collooney, Sligo/Leitrim Division",4,1,3,6,3,3
" ","Cong, Mayo Division",0,0,1,0,1,0
" ","Convoy, Donegal Division",2,4,5,2,1,3
" ","Coolaney, Sligo/Leitrim Division",0,1,0,0,2,0
" ","Coolock, D.M.R. Northern Division",64,43,39,63,42,47
" ","Cootehill, Cavan/Monaghan Division",5,3,1,8,4,2
" ","Corofin Co. Clare, Clare Division",1,0,1,0,0,0
" ","Corofin Co. Galway, Galway Division",1,1,0,0,1,0
" ","Courtown Harbour, Wexford Division",2,1,0,0,0,2
" ","Craughwell, Galway Division",3,6,3,1,2,0
" ","Creggs, Galway Division",0,0,1,0,0,0
" ","Crookstown, Cork West Division",3,3,0,2,4,1
" ","Croom, Limerick Division",3,3,2,1,1,2
" ","Crosshaven, Cork City Division",2,0,3,4,0,0
" ","Crossmolina, Mayo Division",1,3,2,3,1,2
" ","Crumlin, D.M.R. Southern Division",46,41,31,37,33,29
" ","Crusheen, Clare Division",0,1,4,0,2,0
" ","Daingean, Laois/Offaly Division",2,1,2,1,3,2
" ","Delvin, Westmeath Division",0,3,1,1,0,3
" ","Dingle, Kerry Division",1,0,4,0,5,0
" ","Dolla, Tipperary Division",0,0,0,0,0,0
" ","Donegal Town, Donegal Division",11,8,9,6,3,4
" ","Doneraile, Cork North Division",1,4,1,1,1,1
" ","Donnybrook, D.M.R. South Central Division",64,33,44,44,40,44
" ","Douglas, Cork City Division",12,7,9,5,8,10
" ","Dowra, Cavan/Monaghan Division",0,0,0,1,0,0
" ","Drimoleague, Cork West Division",0,1,1,2,0,0
" ","Drinagh, Cork West Division",5,1,0,2,0,0
" ","Drogheda, Louth Division",43,38,57,55,106,45
" ","Drumad, Louth Division",5,5,2,6,2,1
" ","Drumcollogher, Limerick Division",1,0,1,1,0,0
" ","Drumlish, Roscommon/Longford Division",2,7,1,1,2,1
" ","Drumshambo, Sligo/Leitrim Division",2,1,5,1,1,3
" ","Dublin Airport, D.M.R. Northern Division",71,60,50,41,47,17
" ","Duleek, Meath Division",2,7,5,4,4,3
" ","Dun Fionnachaid, Donegal Division",1,1,0,0,0,0
" ","Dun Laoghaire, D.M.R. Eastern Division",77,46,65,60,68,59
" ","Dunboyne, Meath Division",11,9,11,16,11,5
" ","Duncannon, Wexford Division",0,0,2,2,2,2
" ","Dundalk, Louth Division",87,82,81,63,75,50
" ","Dundrum, D.M.R. Eastern Division",66,84,79,130,122,96
" ","Dungarvan, Waterford Division",15,15,12,10,14,15
" ","Dunlavin, Wicklow Division",1,1,2,0,0,0
" ","Dunleer, Louth Division",4,4,3,2,7,3
" ","Dunmanway, Cork West Division",6,9,1,2,2,1
" ","Dunmore East, Waterford Division",0,0,0,0,1,3
" ","Dunmore, Galway Division",2,1,2,2,0,1
" ","Dunshaughlin, Meath Division",8,8,4,9,12,6
" ","Durrow, Laois/Offaly Division",2,0,1,0,1,0
" ","Durrus, Cork West Division",0,0,0,0,1,0
" ","Edenderry, Laois/Offaly Division",6,5,3,5,10,4
" ","Edgeworthstown, Roscommon/Longford Division",4,9,4,9,9,4
" ","Elphin, Roscommon/Longford Division",0,0,3,1,4,1
" ","Emly, Tipperary Division",0,1,0,1,1,1
" ","Emyvale, Cavan/Monaghan Division",8,3,2,1,4,3
" ","Enfield, Meath Division",2,6,4,2,7,0
" ","Ennis, Clare Division",34,34,35,37,43,46
" ","Enniscorthy, Wexford Division",14,34,30,28,44,13
" ","Enniscrone, Sligo/Leitrim Division",3,2,4,3,3,4
" ","Enniskerry, Wicklow Division",1,0,1,3,0,2
" ","Ennistymon, Clare Division",4,5,4,3,0,1
" ","Eyrecourt, Galway Division",0,0,0,1,1,0
" ","Farranfore, Kerry Division",0,0,0,2,1,0
" ","Ferbane, Laois/Offaly Division",2,0,0,0,1,1
" ","Fermoy, Cork North Division",9,17,9,12,7,15
" ","Ferns, Wexford Division",2,3,3,4,1,0
" ","Ferrybank, Waterford Division",1,1,3,5,7,7
" ","Fethard, Tipperary Division",2,1,0,1,2,2
